age,gender,education,income,marital_status,risk_preference,preference_1,preference_2,preference_3
37,Male,Master,Medium,Married,-0.34,6,9,13
42,Female,Bachelor,Medium,Married,0.32,6,9,13
47,Female,Master,High,Married,0.32,10,9,6
47,Female,Master,Medium,Married,0.23,4,8,13
34,Male,Bachelor,Medium,Married,0.32,9,6,4
38,Male,Bachelor,Medium,Married,0.32,6,13,9
34,Male,Bachelor,Medium,Married,0.23,9,6,13
38,Female,Bachelor,Medium,Married,0.23,9,6,13
43,Female,Master,Medium,Married,0.15,9,6,13
37,Male,Master,Medium,Married,-0.23,10,4,13
48,Female,Master,Medium,Married,0.23,9,6,13
43,Male,Master,Medium,Married,0.05,9,6,3
48,Female,Master,Medium,Married,0.13,9,4,13
38,Female,master,Medium,married,0.21,9,10,3
52,Female,Master,High,Divorced,0.09,8,3,13
38,Female,Bachelor,Medium,Married,0.31,9,6,4
38,Female,Master,Medium,Married,0.45,9,6,13
37,Female,Bachelor,Medium,Married,0.21,6,9,8
39,Male,Master,Medium,Married,0.32,6,4,13
33,Female,Master,Medium,Married,0.45,9,6,14
37,Male,Bachelor,Medium,Married,0.15,9,4,6
34,Female,Bachelor,Medium,Married,-0.08,2,9,6
47,Female,PhD,High,Divorced,0.42,9,1,6
47,Male,Master,Medium,Divorced,0.23,9,13,6
37,Female,Master,Medium,Married,-0.32,9,6,13
38,Female,Master,Medium,Married,0.45,9,6,13
37,Female,Bachelor,Medium,Married,0.32,9,6,8
38,Female,Bachelor,Medium,Married,0.23,9,6,8
48,Female,Master,Medium,Married,0.25,6,13,9
38,Female,Bachelor,Medium,Married,-0.32,9,6,2
47,Female,Master,Medium,Married,0.25,6,9,8
28,Male,Bachelor,Medium,Single,0.23,6,9,3
36,Female,Master,Medium,Married,-0.07,9,13,5
48,Female,Bachelor,Medium,Married,-0.03,6,13,9
38,male,master,medium,married,0.18,9,6,4
38,Male,Master,Medium,Married,-0.04,9,6,3
37,Female,Master,Medium,Married,-0.23,9,6,4
34,Female,Bachelor,Medium,Married,0.12,9,4,6
37,Female,Master,Medium,Married,0.21,6,13,2
38,Male,Master,Medium,Married,0.25,10,6,9
52,female,master,medium,divorced,-0.02,4,13,14
42,Female,Master,Medium,Married,-0.32,8,6,9
37,Female,Bachelor,Medium,Married,0.31,6,4,13
37,Female,Master,Medium,Married,0.32,9,6,10
38,Male,Bachelor,Medium,Married,0.23,6,4,13
37,Female,Bachelor,Medium,Married,0.31,6,9,4
37,Male,Master,Medium,Married,0.24,6,13,9
49,Female,Master,Medium,Married,-0.23,13,9,6
37,male,master,medium,married,-0.21,6,9,15
47,Female,Master,High,Married,0.32,9,6,13
37,Female,Master,Medium,Married,0.47,9,8,11
35,Male,Master,Medium,Married,-0.05,9,6,14
37,Male,Bachelor,Medium,Married,0.23,2,9,6
38,Female,Master,Medium,Married,0.45,10,6,14
37,Female,Bachelor,Medium,Married,0.23,9,6,4
37,Female,Master,Medium,Married,-0.23,6,2,14
47,Female,Master,Medium,Married,0.21,9,6,4
33,Female,Bachelor,Medium,Married,0.23,9,6,13
48,Female,Bachelor,Medium,Divorced,0.34,9,13,6
37,Male,Master,Medium,Married,0.34,9,6,8
52,Female,Master,Medium,Divorced,0.34,9,13,6
47,Female,Master,High,Divorced,0.42,9,4,13
36,Female,Bachelor,Medium,Married,0.37,6,9,13
32,Male,Bachelor,High,Married,0.75,9,8,3
34,Female,Master,Medium,Married,-0.12,6,9,13
47,Female,Bachelor,Medium,Married,-0.27,9,6,13
43,Female,Bachelor,Medium,Married,0.21,9,3,8
42,Male,Master,Medium,Married,0.23,9,6,13
37,Female,Master,Medium,Married,-0.02,9,6,3
39,Male,Bachelor,Medium,Married,0.43,9,10,13
38,Male,Bachelor,Medium,Married,0.35,9,6,14
37,Male,Bachelor,Medium,Married,0.23,6,9,13
37,Male,Bachelor,Medium,Married,0.35,9,6,7
42,Male,Master,Medium,Married,-0.32,9,6,13
34,Female,Bachelor,Medium,Married,-0.02,8,2,13
38,Male,Bachelor,Medium,Married,0.15,6,9,13
37,Female,Master,Medium,Married,0.27,10,13,14
34,Female,Bachelor,Medium,Married,0.12,9,6,13
38,Male,Bachelor,Medium,Married,0.45,9,6,13
37,Male,Master,Medium,Married,0.32,9,10,2
31,Female,Bachelor,Medium,Married,0.34,9,3,13
37,Male,master,Medium,married,-0.09,6,9,13
42,Female,Bachelor,Medium,Married,0.15,9,6,4
53,Female,Master,Medium,Married,0.23,9,13,6
37,Male,Bachelor,Medium,Married,0.23,9,6,10
48,Female,Master,Medium,Married,0.15,9,6,13
34,Female,Bachelor,Medium,Married,0.23,6,9,13
43,Female,Master,Medium,Married,0.23,9,1,6
34,Female,Bachelor,Medium,Married,0.24,9,6,8
38,Female,Master,Medium,Married,0.12,4,6,13
37,Female,Bachelor,Medium,Married,0.15,6,9,13
35,Male,Master,Medium,Married,0.23,9,6,14
38,Female,Master,Medium,Married,0.28,6,13,2
37,male,master,medium,married,0.23,10,6,9
36,Male,Bachelor,Medium,Married,-0.17,3,9,6
42,Female,Master,Medium,Married,0.23,10,9,6
48,Female,Master,Medium,Divorced,0.28,9,4,13
32,Female,Bachelors,Medium,Married,0.15,9,6,13
33,Male,Master,Medium,Married,0.45,9,7,3
47,Female,Master,Medium,Married,-0.32,9,6,14
